DISTRICT,BUILDING_TYPE,RENOVATION,SELLER_TYPE,TOTAL_PROPERTIES
Novogireyevo,brick,euro,agency,13
Marushkinskoye,modern_panel,euro,agency,13
Sokolniki,brick,cosmetic,owner,13
Veshnyaki,monolith,no_renovation,agency,13
Strogino,stalin,cosmetic,agency,13
Orekhovo-Borisovo Severnoye,modern_panel,euro,agency,13
Savyolovsky,brick,no_renovation,agency,13
Prospekt Vernadskogo,monolith,no_renovation,agency,13
Marushkinskoye,monolith,no_renovation,agency,13
Novokosino,brick,cosmetic,owner,13
Marfino,khrushchev,cosmetic,owner,13
Zapadnoye Degunino,panel,euro,agency,13
Metrogorodok,modern_panel,no_renovation,agency,13
Khovrino,modern_panel,euro,agency,13
Danilovsky,modern_panel,euro,agency,13
Marushkinskoye,panel,euro,agency,13
Novo-Peredelkino,brick,cosmetic,owner,13
Severnoye Tushino,monolith,no_renovation,agency,13
Pervomayskoye,brick,euro,agency,13
Severnoye Medvedkovo,modern_panel,euro,agency,13
Mikhaylovo-Yartsevskoye,brick,euro,agency,13
Tsaritsyno,monolith,cosmetic,owner,13
Brateyevo,modern_panel,cosmetic,owner,13
Voykovsky,modern_panel,euro,agency,13
Golyanovo,modern_panel,cosmetic,owner,13
Tagansky,modern_panel,cosmetic,owner,13
Severnoye Izmaylovo,khrushchev,cosmetic,owner,13
Klyonovskoye,monolith,no_renovation,agency,13
Khoroshyovo-Mnyovniki,khrushchev,cosmetic,agency,13
Krylatskoye,modern_panel,euro,agency,13
Lomonosovsky,khrushchev,cosmetic,owner,13
Troparyovo-Nikulino,panel,euro,agency,13
Akademichesky,monolith,no_renovation,agency,13
Mosrentgen,khrushchev,euro,agency,13
Timiryazevsky,modern_panel,cosmetic,owner,13
Orekhovo-Borisovo Yuzhnoye,panel,no_renovation,agency,13
Zyuzino,modern_panel,euro,agency,13
Vostochnoye Izmaylovo,modern_panel,euro,agency,13
Shchapovskoye,monolith,euro,agency,13
Dmitrovsky,monolith,euro,agency,13
Kurkino,modern_panel,euro,agency,13
Ryazanovskoye,monolith,cosmetic,owner,13
Yakimanka,monolith,no_renovation,agency,13
Moskovsky,monolith,euro,agency,13
Timiryazevsky,stalin,cosmetic,agency,13
Orekhovo-Borisovo Yuzhnoye,monolith,euro,agency,13
Lianozovo,khrushchev,cosmetic,agency,13
Beskudnikovsky,brick,euro,agency,13
Filyovsky Park,brick,euro,agency,13
Dmitrovsky,brick,no_renovation,agency,13
Alekseevsky,brick,euro,agency,13
Mozhaysky,panel,cosmetic,agency,13
Bogorodskoye,monolith,euro,agency,13
Cheryomushki,modern_panel,cosmetic,agency,13
Biryulyovo Zapadnoye,modern_panel,cosmetic,owner,13
Mitino,panel,cosmetic,owner,13
Altufyevsky,monolith,cosmetic,owner,13
Chertanovo Severnoye,monolith,cosmetic,owner,13
Sokolinaya Gora,khrushchev,cosmetic,agency,13
Biryulyovo Zapadnoye,stalin,cosmetic,agency,13
Zamoskvorechye,brick,cosmetic,agency,13
Mozhaysky,khrushchev,euro,agency,13
Khoroshyovsky,monolith,cosmetic,owner,13
Troitsk,modern_panel,cosmetic,owner,13
Chertanovo Tsentralnoye,panel,no_renovation,agency,13
Desyonovskoye,brick,no_renovation,agency,13
Ochakovo-Matveyevskoye,modern_panel,euro,agency,13
Krasnopakhorskoye,panel,euro,owner,13
Mikhaylovo-Yartsevskoye,panel,cosmetic,owner,13
Yuzhnoye Tushino,modern_panel,no_renovation,agency,13
Severnoye Izmaylovo,panel,no_renovation,agency,13
Shcherbinka,brick,euro,owner,13
Troparyovo-Nikulino,panel,cosmetic,owner,13
Zyuzino,monolith,euro,agency,13
Vnukovskoye,brick,euro,agency,13
Novofyodorovskoye,panel,no_renovation,agency,13
Fili-Davydkovo,khrushchev,cosmetic,agency,13
Losinoostrovsky,panel,no_renovation,agency,13
Novofyodorovskoye,monolith,euro,owner,13
Khamovniki,khrushchev,cosmetic,agency,13
Metrogorodok,panel,cosmetic,agency,13
Pokrovskoye-Streshnevo,khrushchev,euro,agency,13
Sviblovo,modern_panel,no_renovation,owner,13
Rogovskoye,panel,euro,agency,13
Babushkinsky,monolith,euro,agency,13
Chertanovo Severnoye,khrushchev,cosmetic,agency,13
Ryazanovskoye,khrushchev,euro,agency,13
Severnoye Butovo,brick,cosmetic,agency,13
Arbat,monolith,euro,agency,13
Rogovskoye,modern_panel,euro,agency,13
Vnukovo,khrushchev,cosmetic,agency,13
Mikhaylovo-Yartsevskoye,modern_panel,no_renovation,agency,13
Vnukovo,monolith,no_renovation,agency,13
Molzhaninovsky,khrushchev,cosmetic,agency,13
Severnoye Medvedkovo,monolith,euro,owner,13
Yaroslavsky,panel,euro,agency,13
Solntsevo,monolith,euro,agency,13
Novogireyevo,brick,no_renovation,agency,13
Mikhaylovo-Yartsevskoye,khrushchev,no_renovation,agency,13
Basmanny,modern_panel,no_renovation,agency,13
Klyonovskoye,monolith,cosmetic,owner,13
Shcherbinka,monolith,euro,owner,13
Golovinsky,modern_panel,cosmetic,agency,13
Mozhaysky,modern_panel,euro,agency,13
Marushkinskoye,panel,euro,owner,13
Khoroshyovo-Mnyovniki,brick,cosmetic,owner,13
Troitsk,brick,euro,agency,13
Kosino-Ukhtomsky,monolith,euro,agency,13
Ryazanovskoye,brick,euro,agency,13
Sokolniki,modern_panel,euro,agency,13
Marfino,monolith,euro,agency,13
Bogorodskoye,khrushchev,euro,agency,13
Troparyovo-Nikulino,brick,cosmetic,owner,13
Rogovskoye,panel,no_renovation,agency,13
Babushkinsky,modern_panel,euro,agency,13
Timiryazevsky,panel,cosmetic,agency,13
Khovrino,panel,euro,agency,13
Voronovskoye,modern_panel,euro,owner,13
Akademichesky,khrushchev,no_renovation,agency,13
Koptevo,panel,no_renovation,agency,13
Brateyevo,brick,cosmetic,agency,13
Mikhaylovo-Yartsevskoye,khrushchev,euro,agency,13
Severnoye Medvedkovo,monolith,euro,agency,13
Otradnoye,monolith,euro,agency,13
Metrogorodok,modern_panel,cosmetic,owner,13
Chertanovo Yuzhnoye,panel,cosmetic,agency,13
Shchukino,brick,euro,agency,13
Khamovniki,panel,no_renovation,agency,13
Alekseevsky,monolith,no_renovation,agency,13
Cheryomushki,monolith,cosmetic,owner,13
Obruchevsky,modern_panel,cosmetic,agency,13
Cheryomushki,brick,no_renovation,agency,13
Lomonosovsky,modern_panel,euro,owner,13
Izmaylovo,monolith,euro,owner,13
Nagatino-Sadovniki,modern_panel,euro,agency,13
Cheryomushki,modern_panel,euro,owner,13
Danilovsky,khrushchev,cosmetic,agency,13
Izmaylovo,panel,cosmetic,owner,13
Perovo,brick,euro,agency,13
Ramenki,monolith,euro,owner,13
Nagatinsky Zaton,monolith,cosmetic,agency,13
Sokolniki,khrushchev,cosmetic,agency,13
Kosino-Ukhtomsky,panel,euro,agency,13
Metrogorodok,panel,no_renovation,agency,13
Biryulyovo Zapadnoye,modern_panel,no_renovation,agency,13
Akademichesky,panel,euro,agency,13
Desyonovskoye,modern_panel,cosmetic,owner,13
Severnoye Izmaylovo,monolith,euro,owner,13
Filimonkovskoye,monolith,euro,agency,12
Voykovsky,monolith,no_renovation,agency,12
Severnoye Butovo,modern_panel,cosmetic,owner,12
Tyoply Stan,modern_panel,cosmetic,owner,12
Otradnoye,modern_panel,euro,owner,12
Zyuzino,khrushchev,euro,agency,12
Yasenevo,khrushchev,euro,agency,12
Maryina Roshcha,panel,cosmetic,owner,12
Troparyovo-Nikulino,panel,no_renovation,agency,12
Metrogorodok,modern_panel,euro,agency,12
Kuntsevo,panel,euro,agency,12
Gagarinsky,modern_panel,euro,agency,12
Kurkino,monolith,euro,agency,12
Voykovsky,monolith,euro,owner,12
Donskoy,khrushchev,euro,agency,12
Nagatino-Sadovniki,monolith,cosmetic,owner,12
Novofyodorovskoye,modern_panel,euro,agency,12
Voronovskoye,panel,cosmetic,owner,12
Orekhovo-Borisovo Yuzhnoye,monolith,cosmetic,owner,12
Veshnyaki,panel,cosmetic,owner,12
Severnoye Medvedkovo,monolith,cosmetic,owner,12
Bibirevo,modern_panel,no_renovation,agency,12
Sokolinaya Gora,stalin,cosmetic,agency,12
Basmanny,modern_panel,cosmetic,owner,12
Shchapovskoye,khrushchev,euro,agency,12
Severny,monolith,cosmetic,owner,12
Khamovniki,modern_panel,euro,agency,12
Filyovsky Park,modern_panel,cosmetic,owner,12
Chertanovo Yuzhnoye,panel,cosmetic,owner,12
Khamovniki,modern_panel,no_renovation,agency,12
Vnukovskoye,khrushchev,cosmetic,agency,12
Zyablikovo,modern_panel,euro,owner,12
Khamovniki,panel,cosmetic,owner,12
Shcherbinka,monolith,no_renovation,agency,12
Chertanovo Yuzhnoye,khrushchev,no_renovation,agency,12
Metrogorodok,khrushchev,cosmetic,agency,12
Sokol,khrushchev,cosmetic,agency,12
Kokoshkino,panel,cosmetic,owner,12
Molzhaninovsky,khrushchev,euro,agency,12
Savyolovsky,modern_panel,no_renovation,agency,12
Golovinsky,modern_panel,no_renovation,owner,12
Dorogomilovo,monolith,euro,agency,12
Begovoy,panel,no_renovation,agency,12
Alekseevsky,monolith,cosmetic,owner,12
Voronovskoye,panel,no_renovation,agency,12
Yuzhnoye Butovo,stalin,cosmetic,agency,12
Ryazanovskoye,modern_panel,euro,owner,12
Maryina Roshcha,khrushchev,cosmetic,agency,12
Severnoye Butovo,brick,euro,agency,12
Shchapovskoye,panel,no_renovation,agency,12
Shchapovskoye,brick,cosmetic,owner,12
Mozhaysky,monolith,cosmetic,owner,12
Kurkino,panel,no_renovation,agency,12
Solntsevo,modern_panel,euro,agency,12
Strogino,brick,cosmetic,agency,12
Moskvorechye-Saburovo,khrushchev,euro,agency,12
Sokolinaya Gora,modern_panel,no_renovation,agency,12
Maryina Roshcha,brick,euro,agency,12
Biryulyovo Vostochnoye,monolith,euro,agency,12
Koptevo,panel,cosmetic,owner,12
Severny,khrushchev,cosmetic,owner,12
Vostochny,panel,no_renovation,agency,12
Desyonovskoye,brick,euro,agency,12
Lomonosovsky,brick,no_renovation,agency,12
Zyablikovo,panel,no_renovation,agency,12
Kosino-Ukhtomsky,brick,euro,agency,12
Obruchevsky,khrushchev,euro,agency,12
Yakimanka,modern_panel,euro,agency,12
Tagansky,brick,no_renovation,agency,12
Timiryazevsky,monolith,cosmetic,owner,12
Severnoye Butovo,panel,cosmetic,owner,12
Filimonkovskoye,brick,euro,owner,12
Zelenograd,panel,euro,owner,12
Aeroport,brick,euro,agency,12
Marushkinskoye,modern_panel,no_renovation,agency,12
Kokoshkino,brick,no_renovation,agency,12
Novogireyevo,monolith,no_renovation,agency,12
Novogireyevo,monolith,designer,agency,12
Fili-Davydkovo,monolith,euro,agency,12
Khoroshyovsky,panel,euro,owner,12
Klyonovskoye,modern_panel,cosmetic,owner,12
Sokolinaya Gora,monolith,cosmetic,owner,12
Severny,modern_panel,euro,agency,12
Marfino,modern_panel,euro,owner,12
Novo-Peredelkino,brick,no_renovation,agency,12
Begovoy,stalin,cosmetic,agency,12
Biryulyovo Vostochnoye,khrushchev,cosmetic,agency,12
Gagarinsky,brick,no_renovation,agency,12
Brateyevo,panel,cosmetic,owner,12
Vostochny,monolith,no_renovation,agency,12
Severny,khrushchev,cosmetic,agency,12
Severnoye Izmaylovo,monolith,no_renovation,agency,12
Zyablikovo,khrushchev,cosmetic,owner,12
Filyovsky Park,panel,no_renovation,agency,12
Biryulyovo Vostochnoye,brick,euro,agency,12
Zyablikovo,khrushchev,cosmetic,agency,12
Ostankinsky,khrushchev,euro,owner,12
Severnoye Tushino,brick,euro,agency,12
Severnoye Medvedkovo,modern_panel,no_renovation,agency,12
Kotlovka,panel,cosmetic,owner,12
Nagatinsky Zaton,khrushchev,cosmetic,owner,12
Novo-Peredelkino,panel,cosmetic,owner,12
Moskvorechye-Saburovo,stalin,cosmetic,owner,12
Troitsk,panel,euro,agency,12
Kotlovka,monolith,no_renovation,agency,12
Shcherbinka,brick,cosmetic,agency,12
Savyolovsky,brick,cosmetic,owner,12
Khovrino,khrushchev,no_renovation,agency,12
Ochakovo-Matveyevskoye,panel,cosmetic,agency,12
Shcherbinka,brick,no_renovation,agency,12
Koptevo,brick,cosmetic,agency,12
Babushkinsky,modern_panel,no_renovation,agency,12
Desyonovskoye,modern_panel,euro,owner,12
Solntsevo,panel,cosmetic,owner,12
Severnoye Butovo,khrushchev,euro,agency,12
Krylatskoye,panel,euro,agency,12
Orekhovo-Borisovo Severnoye,modern_panel,cosmetic,owner,12
Cheryomushki,panel,cosmetic,owner,12
Rostokino,monolith,cosmetic,owner,12
Severnoye Izmaylovo,modern_panel,cosmetic,agency,12
Solntsevo,panel,euro,owner,12
Fili-Davydkovo,brick,cosmetic,owner,12
Ryazanovskoye,monolith,no_renovation,agency,12
Maryina Roshcha,brick,cosmetic,owner,12
Troitsk,brick,cosmetic,agency,12
Nagorny,modern_panel,euro,agency,12
Orekhovo-Borisovo Yuzhnoye,monolith,no_renovation,agency,12
Akademichesky,brick,euro,agency,12
Akademichesky,khrushchev,cosmetic,agency,12
Veshnyaki,monolith,euro,agency,12
Sokolniki,monolith,euro,agency,12
Kievsky,khrushchev,cosmetic,agency,12
Konkovo,panel,cosmetic,owner,12
Butyrsky,panel,no_renovation,agency,12
Mosrentgen,panel,no_renovation,agency,12
Filimonkovskoye,khrushchev,euro,agency,12
Vostochny,monolith,cosmetic,owner,12
Novokosino,panel,euro,agency,12
Lomonosovsky,brick,cosmetic,owner,12
Kievsky,modern_panel,euro,agency,12
Sokol,modern_panel,euro,owner,12
Solntsevo,monolith,euro,owner,12
Lomonosovsky,monolith,cosmetic,owner,12
Solntsevo,modern_panel,no_renovation,agency,12
Severnoye Butovo,brick,cosmetic,owner,12
Ramenki,modern_panel,cosmetic,owner,12
Yuzhnoye Butovo,monolith,no_renovation,agency,12
Koptevo,modern_panel,cosmetic,owner,12
Timiryazevsky,panel,cosmetic,owner,12
Zelenograd,modern_panel,cosmetic,owner,12
Golyanovo,panel,no_renovation,agency,12
Arbat,panel,cosmetic,owner,12
Yuzhnoye Medvedkovo,khrushchev,cosmetic,agency,12
Izmaylovo,monolith,no_renovation,agency,12
Strogino,khrushchev,cosmetic,agency,12
Novokosino,monolith,no_renovation,agency,12
Shchapovskoye,stalin,cosmetic,agency,12
Kokoshkino,brick,designer,agency,12
Gagarinsky,brick,euro,agency,12
Danilovsky,monolith,cosmetic,owner,12
Zapadnoye Degunino,panel,euro,owner,12
Meshchansky,brick,euro,agency,12
Tagansky,monolith,euro,agency,12
Severnoye Medvedkovo,modern_panel,cosmetic,owner,12
Yasenevo,panel,euro,owner,12
Izmaylovo,modern_panel,no_renovation,owner,12
Presnensky,modern_panel,euro,owner,12
Altufyevsky,modern_panel,cosmetic,owner,12
Severnoye Medvedkovo,khrushchev,cosmetic,agency,12
Vostochny,brick,no_renovation,agency,12
Vnukovo,modern_panel,euro,agency,12
Kokoshkino,khrushchev,euro,agency,12
Novofyodorovskoye,brick,euro,agency,12
Voskresenskoye,monolith,euro,agency,12
Rostokino,khrushchev,cosmetic,agency,12
Pokrovskoye-Streshnevo,brick,euro,agency,12
Sokol,brick,no_renovation,agency,12
Chertanovo Severnoye,khrushchev,euro,agency,12
Krasnopakhorskoye,modern_panel,cosmetic,owner,12
Voronovskoye,modern_panel,no_renovation,agency,12
Alekseevsky,khrushchev,cosmetic,agency,12
Tsaritsyno,panel,cosmetic,owner,12
Moskovsky,monolith,euro,owner,12
Rostokino,brick,euro,agency,12
Zyuzino,stalin,cosmetic,agency,12
Chertanovo Yuzhnoye,modern_panel,no_renovation,agency,12
Rogovskoye,khrushchev,no_renovation,agency,12
Zelenograd,brick,no_renovation,agency,12
Akademichesky,panel,no_renovation,agency,12
Brateyevo,modern_panel,no_renovation,agency,12
Akademichesky,khrushchev,cosmetic,owner,12
Veshnyaki,modern_panel,no_renovation,agency,12
Levoberezhny,monolith,no_renovation,agency,12
Zyuzino,brick,cosmetic,owner,12
Lianozovo,monolith,cosmetic,owner,12
Krasnoselsky,monolith,cosmetic,agency,12
Danilovsky,monolith,cosmetic,agency,12
Mozhaysky,modern_panel,cosmetic,owner,12
Altufyevsky,panel,no_renovation,agency,12
Fili-Davydkovo,monolith,cosmetic,owner,12
Brateyevo,panel,no_renovation,agency,12
Sosenskoye,khrushchev,euro,agency,12
Lomonosovsky,modern_panel,euro,agency,12
Ivanovskoye,monolith,euro,owner,12
Strogino,brick,cosmetic,owner,12
Mitino,modern_panel,no_renovation,agency,12
Maryina Roshcha,brick,cosmetic,agency,12
Molzhaninovsky,panel,cosmetic,owner,12
Brateyevo,khrushchev,cosmetic,agency,12
Kotlovka,panel,euro,owner,12
Chertanovo Severnoye,panel,cosmetic,owner,12
Sviblovo,panel,euro,agency,12
Shchukino,panel,no_renovation,agency,12
Marushkinskoye,brick,no_renovation,agency,12
Yuzhnoye Medvedkovo,monolith,cosmetic,owner,12
Meshchansky,panel,euro,owner,12
Krasnoselsky,brick,no_renovation,agency,12
Gagarinsky,panel,euro,owner,12
Otradnoye,khrushchev,euro,agency,12
Voskresenskoye,brick,euro,agency,12
Timiryazevsky,monolith,euro,owner,12
Donskoy,brick,cosmetic,agency,12
Chertanovo Tsentralnoye,monolith,cosmetic,owner,12
Sviblovo,brick,euro,agency,12
Rostokino,panel,euro,agency,12
Fili-Davydkovo,panel,no_renovation,agency,12
Arbat,monolith,no_renovation,agency,12
Shcherbinka,modern_panel,euro,agency,11
Pervomayskoye,khrushchev,no_renovation,agency,11
Severnoye Izmaylovo,panel,euro,owner,11
Dorogomilovo,brick,euro,owner,11
Vostochnoye Izmaylovo,brick,cosmetic,owner,11
Presnensky,modern_panel,no_renovation,agency,11
Nagatinsky Zaton,modern_panel,cosmetic,owner,11
Severnoye Medvedkovo,brick,euro,agency,11
Tyoply Stan,khrushchev,cosmetic,agency,11
Chertanovo Yuzhnoye,stalin,cosmetic,agency,11
Voykovsky,panel,no_renovation,agency,11
Bibirevo,panel,no_renovation,agency,11
Dorogomilovo,brick,cosmetic,owner,11
Tsaritsyno,monolith,euro,owner,11
Dorogomilovo,monolith,no_renovation,agency,11
Severny,brick,euro,owner,11
Savyolovsky,monolith,euro,agency,11
Yakimanka,brick,no_renovation,agency,11
Pokrovskoye-Streshnevo,panel,cosmetic,owner,11
Arbat,khrushchev,no_renovation,agency,11
Ochakovo-Matveyevskoye,khrushchev,euro,agency,11
Vostochnoye Izmaylovo,panel,euro,agency,11
Sokolniki,brick,no_renovation,agency,11
Vnukovo,stalin,cosmetic,agency,11
Altufyevsky,khrushchev,euro,agency,11
Babushkinsky,panel,cosmetic,owner,11
Orekhovo-Borisovo Severnoye,khrushchev,euro,owner,11
Yuzhnoye Butovo,brick,cosmetic,owner,11
Beskudnikovsky,panel,cosmetic,owner,11
Arbat,brick,cosmetic,agency,11
Severnoye Medvedkovo,panel,euro,owner,11
Voskresenskoye,brick,no_renovation,agency,11
Severnoye Izmaylovo,monolith,cosmetic,owner,11
Preobrazhenskoye,brick,no_renovation,agency,11
Ramenki,panel,euro,agency,11
Tverskoy,panel,cosmetic,owner,11
Dorogomilovo,khrushchev,euro,agency,11
Begovoy,modern_panel,cosmetic,owner,11
Yakimanka,brick,euro,agency,11
Mozhaysky,panel,euro,agency,11
Solntsevo,panel,no_renovation,owner,11
Khovrino,modern_panel,euro,owner,11
Bibirevo,khrushchev,euro,agency,11
Desyonovskoye,panel,euro,owner,11
Kotlovka,modern_panel,no_renovation,agency,11
Ostankinsky,modern_panel,cosmetic,owner,11
Mikhaylovo-Yartsevskoye,monolith,no_renovation,agency,11
Yuzhnoye Butovo,modern_panel,cosmetic,agency,11
Zyablikovo,monolith,cosmetic,owner,11
Yuzhnoye Butovo,monolith,designer,agency,11
Khoroshyovsky,monolith,no_renovation,agency,11
Prospekt Vernadskogo,modern_panel,euro,owner,11
Desyonovskoye,monolith,euro,agency,11
Kokoshkino,modern_panel,cosmetic,owner,11
Ostankinsky,modern_panel,euro,agency,11
Kurkino,monolith,designer,agency,11
Butyrsky,panel,euro,agency,11
Fili-Davydkovo,monolith,euro,owner,11
Krasnoselsky,panel,cosmetic,owner,11
Vnukovo,brick,no_renovation,agency,11
Altufyevsky,panel,euro,owner,11
Lianozovo,modern_panel,cosmetic,owner,11
Levoberezhny,modern_panel,euro,owner,11
Yuzhnoye Medvedkovo,monolith,no_renovation,agency,11
Moskovsky,panel,no_renovation,agency,11
Moskvorechye-Saburovo,brick,euro,owner,11
Ochakovo-Matveyevskoye,modern_panel,no_renovation,agency,11
Konkovo,stalin,cosmetic,agency,11
Marfino,monolith,cosmetic,owner,11
Savyolovsky,khrushchev,euro,agency,11
Lianozovo,monolith,no_renovation,agency,11
Klyonovskoye,panel,cosmetic,owner,11
Tagansky,khrushchev,euro,agency,11
Moskovsky,khrushchev,no_renovation,agency,11
Severnoye Tushino,brick,cosmetic,owner,11
Sosenskoye,brick,no_renovation,agency,11
Biryulyovo Vostochnoye,khrushchev,euro,agency,11
Vostochnoye Izmaylovo,panel,cosmetic,owner,11
Novo-Peredelkino,panel,no_renovation,agency,11
Mosrentgen,panel,designer,agency,11
Veshnyaki,monolith,euro,owner,11
Yasenevo,khrushchev,cosmetic,agency,11
Bogorodskoye,khrushchev,cosmetic,owner,11
Novokosino,modern_panel,no_renovation,agency,11
Fili-Davydkovo,modern_panel,euro,owner,11
Chertanovo Yuzhnoye,brick,cosmetic,owner,11
Khoroshyovo-Mnyovniki,modern_panel,no_renovation,agency,11
Beskudnikovsky,monolith,cosmetic,owner,11
Prospekt Vernadskogo,panel,no_renovation,agency,11
Ochakovo-Matveyevskoye,brick,euro,owner,11
Arbat,brick,no_renovation,agency,11
Severny,modern_panel,cosmetic,owner,11
Aeroport,brick,cosmetic,owner,11
Kosino-Ukhtomsky,brick,cosmetic,agency,11
Tverskoy,modern_panel,no_renovation,agency,11
Yasenevo,brick,cosmetic,owner,11
Yasenevo,modern_panel,euro,owner,11
Konkovo,khrushchev,cosmetic,agency,11
Chertanovo Severnoye,khrushchev,cosmetic,owner,11
Kokoshkino,modern_panel,no_renovation,owner,11
Voronovskoye,panel,euro,owner,11
Rogovskoye,panel,cosmetic,owner,11
Dorogomilovo,modern_panel,euro,owner,11
Obruchevsky,monolith,no_renovation,agency,11
Preobrazhenskoye,monolith,no_renovation,agency,11
Severnoye Medvedkovo,monolith,no_renovation,owner,11
Moskovsky,brick,euro,agency,11
Bogorodskoye,panel,no_renovation,agency,11
Khovrino,khrushchev,cosmetic,owner,11
Rogovskoye,modern_panel,euro,owner,11
Krasnoselsky,brick,cosmetic,owner,11
Sokolniki,khrushchev,euro,agency,11
Dmitrovsky,khrushchev,cosmetic,owner,11
Zamoskvorechye,brick,no_renovation,agency,11
Presnensky,khrushchev,cosmetic,owner,11
Yakimanka,panel,cosmetic,owner,11
Chertanovo Tsentralnoye,brick,cosmetic,agency,11
Lomonosovsky,panel,euro,owner,11
Yasenevo,monolith,euro,owner,11
Novo-Peredelkino,brick,euro,agency,11
Klyonovskoye,modern_panel,euro,owner,11
Konkovo,brick,euro,owner,11
Zapadnoye Degunino,brick,cosmetic,owner,11
Preobrazhenskoye,khrushchev,euro,agency,11
Sviblovo,panel,euro,owner,11
Lomonosovsky,monolith,no_renovation,agency,11
Perovo,monolith,cosmetic,owner,11
Akademichesky,modern_panel,no_renovation,agency,11
Biryulyovo Vostochnoye,panel,no_renovation,agency,11
Khovrino,panel,no_renovation,agency,11
Konkovo,monolith,no_renovation,agency,11
Zapadnoye Degunino,brick,euro,owner,11
Lomonosovsky,modern_panel,no_renovation,agency,11
Golovinsky,modern_panel,no_renovation,agency,11
Lomonosovsky,khrushchev,no_renovation,agency,11
Rogovskoye,khrushchev,euro,agency,11
Nagorny,brick,euro,agency,11
Begovoy,monolith,no_renovation,agency,11
Metrogorodok,brick,cosmetic,owner,11
Nagatino-Sadovniki,brick,cosmetic,owner,11
Orekhovo-Borisovo Yuzhnoye,khrushchev,no_renovation,agency,11
Biryulyovo Zapadnoye,modern_panel,euro,owner,11
Meshchansky,modern_panel,designer,agency,11
Severnoye Butovo,monolith,euro,agency,11
Sokol,monolith,cosmetic,owner,11
Krasnoselsky,panel,euro,agency,11
Solntsevo,monolith,no_renovation,agency,11
Ochakovo-Matveyevskoye,panel,euro,agency,11
Yaroslavsky,panel,cosmetic,owner,11
Meshchansky,modern_panel,euro,agency,11
Khoroshyovo-Mnyovniki,monolith,cosmetic,owner,11
Ostankinsky,stalin,cosmetic,agency,11
Troitsk,panel,no_renovation,agency,11
Sokol,modern_panel,cosmetic,owner,11
Shchapovskoye,khrushchev,cosmetic,agency,11
Tyoply Stan,monolith,cosmetic,owner,11
Chertanovo Severnoye,modern_panel,cosmetic,owner,11
Yuzhnoye Medvedkovo,modern_panel,euro,agency,11
Vnukovo,panel,cosmetic,owner,11
Pokrovskoye-Streshnevo,panel,no_renovation,agency,11
Krasnoselsky,monolith,cosmetic,owner,11
Golyanovo,monolith,cosmetic,owner,11
Sokolniki,modern_panel,no_renovation,agency,11
Golyanovo,brick,no_renovation,owner,11
Molzhaninovsky,brick,euro,owner,11
Zyablikovo,panel,cosmetic,owner,11
Nagorny,panel,no_renovation,agency,11
Krylatskoye,panel,cosmetic,agency,11
Butyrsky,panel,cosmetic,owner,11
Moskvorechye-Saburovo,modern_panel,no_renovation,agency,11
Vostochny,modern_panel,euro,agency,11
Ostankinsky,khrushchev,euro,agency,11
Klyonovskoye,khrushchev,euro,agency,11
Yuzhnoye Medvedkovo,modern_panel,cosmetic,owner,11
Mitino,monolith,euro,agency,11
Tverskoy,khrushchev,cosmetic,owner,11
Severnoye Tushino,panel,euro,owner,11
Yaroslavsky,khrushchev,euro,agency,11
Bibirevo,panel,cosmetic,owner,11
Troitsk,monolith,cosmetic,owner,11
Ostankinsky,modern_panel,euro,owner,11
Yakimanka,panel,euro,owner,11
Severny,khrushchev,euro,agency,11
Vnukovo,khrushchev,euro,owner,11
Novogireyevo,brick,cosmetic,owner,11
Konkovo,brick,no_renovation,agency,11
Yakimanka,monolith,cosmetic,owner,11
Severnoye Butovo,modern_panel,euro,owner,11
Begovoy,monolith,no_renovation,owner,11
Metrogorodok,monolith,euro,agency,11
Prospekt Vernadskogo,monolith,euro,owner,11
Tyoply Stan,monolith,designer,agency,11
Kosino-Ukhtomsky,panel,no_renovation,agency,11
Alekseevsky,khrushchev,no_renovation,owner,11
Khovrino,monolith,cosmetic,owner,11
Voronovskoye,modern_panel,designer,agency,11
Meshchansky,khrushchev,cosmetic,agency,11
Severnoye Butovo,modern_panel,cosmetic,agency,11
Tsaritsyno,brick,cosmetic,owner,11
Danilovsky,brick,cosmetic,agency,11
Troitsk,monolith,euro,owner,11
Shchapovskoye,panel,cosmetic,owner,11
Voronovskoye,khrushchev,no_renovation,agency,11
Sosenskoye,modern_panel,euro,agency,11
Yakimanka,brick,cosmetic,owner,11
Zamoskvorechye,monolith,euro,agency,11
Danilovsky,khrushchev,euro,owner,11
Gagarinsky,panel,no_renovation,agency,11
Alekseevsky,panel,no_renovation,agency,11
Vostochnoye Izmaylovo,modern_panel,euro,owner,11
Meshchansky,khrushchev,euro,owner,11
Dmitrovsky,monolith,cosmetic,owner,11
Obruchevsky,modern_panel,cosmetic,owner,11
Marfino,panel,no_renovation,agency,11
Mitino,modern_panel,cosmetic,owner,11
Beskudnikovsky,monolith,euro,agency,11
Nagorny,modern_panel,no_renovation,agency,11
Cheryomushki,modern_panel,euro,agency,11
Izmaylovo,modern_panel,no_renovation,agency,11
Altufyevsky,modern_panel,euro,owner,11
Sviblovo,panel,no_renovation,agency,11
Yaroslavsky,modern_panel,cosmetic,owner,11
Yuzhnoye Medvedkovo,panel,no_renovation,agency,11
Mosrentgen,brick,cosmetic,agency,11
