DISTRICT,BUILDING_TYPE,ROOMS,TO_CENTER_KM,AVG_PRICE_PER_SQM
Preobrazhenskoye,modern_panel,2,8.44,266900.00
Kotlovka,stalin,1,8.44,337100.00
Bogorodskoye,brick,2,8.44,221200.00
Nagatino-Sadovniki,monolith,2,8.44,206700.00
Sokolinaya Gora,brick,2,8.44,172700.00
Akademichesky,khrushchev,2,8.44,211600.00
Bogorodskoye,modern_panel,2,8.44,144000.00
Alekseevsky,monolith,5,8.44,206000.00
Kotlovka,panel,5,8.44,274700.00
Nagatino-Sadovniki,panel,4,8.44,152200.00
Nagatinsky Zaton,brick,3,8.44,239200.00
Gagarinsky,brick,5,8.44,416800.00
Sokol,monolith,2,8.44,297900.00
Filyovsky Park,brick,1,8.44,339600.00
Akademichesky,monolith,1,8.44,422100.00
Fili-Davydkovo,monolith,1,8.44,401800.00
Timiryazevsky,brick,2,8.44,170900.00
Sviblovo,brick,2,8.45,143000.00
Izmaylovo,modern_panel,1,8.45,191600.00
Khoroshyovo-Mnyovniki,brick,1,8.45,289000.00
Timiryazevsky,monolith,2,8.45,169400.00
Akademichesky,stalin,4,8.45,252000.00
Khoroshyovo-Mnyovniki,modern_panel,2,8.45,264100.00
Khoroshyovsky,brick,1,8.45,326700.00
Cheryomushki,khrushchev,3,8.45,248100.00
Sokol,brick,1,8.45,253200.00
Kotlovka,monolith,1,8.45,287800.00
Akademichesky,monolith,1,8.45,193600.00
Nagatino-Sadovniki,panel,2,8.45,175100.00
Ostankinsky,panel,2,8.45,215900.00
Butyrsky,panel,1,8.45,226000.00
Filyovsky Park,monolith,3,8.45,243600.00
Akademichesky,brick,2,8.45,293500.00
Ramenki,modern_panel,2,8.45,281400.00
Kotlovka,modern_panel,2,8.45,185500.00
Filyovsky Park,modern_panel,1,8.45,305800.00
Kotlovka,modern_panel,3,8.45,313400.00
Aeroport,modern_panel,2,8.45,213900.00
Gagarinsky,panel,1,8.45,393400.00
Akademichesky,panel,2,8.45,141200.00
Timiryazevsky,brick,3,8.45,267200.00
Rostokino,modern_panel,4,8.45,154900.00
Shchukino,brick,2,8.45,359900.00
Sokol,khrushchev,1,8.46,221200.00
Voykovsky,stalin,1,8.46,398800.00
Sokolinaya Gora,khrushchev,1,8.46,107500.00
Aeroport,monolith,1,8.46,254700.00
Marfino,brick,1,8.46,244800.00
Kotlovka,monolith,2,8.46,350100.00
Izmaylovo,panel,1,8.46,258000.00
Ostankinsky,stalin,2,8.46,194000.00
Aeroport,khrushchev,1,8.46,138100.00
Marfino,modern_panel,1,8.46,177000.00
Nagatino-Sadovniki,monolith,2,8.46,222400.00
Filyovsky Park,monolith,3,8.46,327000.00
Kotlovka,modern_panel,2,8.46,212100.00
Khoroshyovsky,brick,2,8.46,231600.00
Filyovsky Park,panel,1,8.46,297700.00
Filyovsky Park,monolith,1,8.46,391200.00
Nagorny,modern_panel,1,8.46,185700.00
Preobrazhenskoye,brick,3,8.46,346300.00
Filyovsky Park,monolith,2,8.46,180100.00
Nagatino-Sadovniki,brick,1,8.46,185900.00
Filyovsky Park,panel,3,8.47,426500.00
Ostankinsky,monolith,2,8.47,235200.00
Akademichesky,modern_panel,1,8.47,209300.00
Alekseevsky,monolith,3,8.47,266600.00
Ostankinsky,brick,3,8.47,404600.00
Aeroport,stalin,2,8.47,224400.00
Bogorodskoye,modern_panel,1,8.47,202600.00
Nagorny,modern_panel,1,8.47,272000.00
Nagatino-Sadovniki,monolith,2,8.47,176300.00
Nagorny,modern_panel,2,8.47,360300.00
Metrogorodok,monolith,5,8.47,142200.00
Khoroshyovo-Mnyovniki,panel,5,8.47,174300.00
Sokol,brick,1,8.47,234500.00
Nagatino-Sadovniki,khrushchev,2,8.47,156200.00
Timiryazevsky,panel,1,8.47,130900.00
Nagorny,khrushchev,2,8.47,174300.00
Khoroshyovo-Mnyovniki,modern_panel,2,8.47,206200.00
Fili-Davydkovo,modern_panel,2,8.47,271100.00
Khoroshyovo-Mnyovniki,brick,2,8.47,237000.00
Timiryazevsky,panel,1,8.48,184900.00
Bogorodskoye,khrushchev,1,8.48,143400.00
Kotlovka,brick,5,8.48,289600.00
Preobrazhenskoye,monolith,1,8.48,395200.00
Nagorny,monolith,2,8.48,220700.00
Ostankinsky,modern_panel,4,8.48,142500.00
Fili-Davydkovo,modern_panel,2,8.48,327100.00
Aeroport,modern_panel,3,8.48,267600.00
Lomonosovsky,monolith,2,8.48,549100.00
Ostankinsky,monolith,1,8.48,167600.00
Filyovsky Park,brick,2,8.48,262100.00
Butyrsky,monolith,3,8.48,271300.00
Butyrsky,brick,1,8.48,230400.00
Filyovsky Park,monolith,1,8.48,348400.00
Kotlovka,brick,2,8.48,173700.00
Nagatinsky Zaton,monolith,1,8.48,308500.00
Sokol,monolith,2,8.48,503800.00
Ramenki,modern_panel,2,8.48,337100.00
Filyovsky Park,monolith,1,8.49,219800.00
Butyrsky,khrushchev,3,8.49,132200.00
Lomonosovsky,monolith,2,8.49,355500.00
Khoroshyovo-Mnyovniki,modern_panel,2,8.49,183000.00
Rostokino,brick,1,8.49,144400.00
Filyovsky Park,khrushchev,1,8.49,242800.00
Ostankinsky,brick,4,8.49,248400.00
Fili-Davydkovo,panel,3,8.49,196500.00
Khoroshyovo-Mnyovniki,monolith,2,8.49,268000.00
Nagatinsky Zaton,modern_panel,2,8.49,131600.00
Sokol,monolith,3,8.49,285300.00
Nagatino-Sadovniki,modern_panel,5,8.49,127200.00
Bogorodskoye,brick,1,8.49,176700.00
Ramenki,khrushchev,4,8.49,244200.00
Obruchevsky,stalin,2,8.49,343900.00
Sokol,monolith,1,8.49,239600.00
Lomonosovsky,panel,2,8.49,354000.00
Nagorny,brick,2,8.49,339400.00
Sokol,panel,1,8.5,232700.00
Nagorny,panel,1,8.5,124600.00
Zyuzino,monolith,2,8.5,218200.00
Filyovsky Park,modern_panel,2,8.5,246000.00
Zyuzino,brick,2,8.5,220300.00
Sokol,monolith,1,8.5,227800.00
Sokolinaya Gora,khrushchev,2,8.5,137400.00
Aeroport,panel,3,8.5,116300.00
Lomonosovsky,monolith,5,8.5,355400.00
Ostankinsky,modern_panel,4,8.5,229000.00
Fili-Davydkovo,panel,2,8.5,298500.00
Alekseevsky,stalin,4,8.5,334200.00
Butyrsky,khrushchev,3,8.5,113200.00
Rostokino,khrushchev,2,8.5,160300.00
Preobrazhenskoye,brick,2,8.5,190900.00
Cheryomushki,stalin,4,8.5,488900.00
Rostokino,brick,3,8.5,135400.00
Nagorny,modern_panel,5,8.5,172800.00
Akademichesky,khrushchev,4,8.5,154300.00
Akademichesky,monolith,3,8.5,239000.00
Nagatino-Sadovniki,modern_panel,1,8.5,203700.00
Perovo,modern_panel,2,8.5,327900.00
Sokolinaya Gora,brick,1,8.5,207700.00
Bogorodskoye,khrushchev,2,8.5,160150.00
Khoroshyovo-Mnyovniki,panel,2,8.5,191300.00
Sokolinaya Gora,monolith,2,8.5,156100.00
Sviblovo,brick,3,8.5,164500.00
Ramenki,panel,1,8.5,232700.00
Nagatinsky Zaton,monolith,3,8.5,250100.00
Sokolinaya Gora,brick,2,8.5,156300.00
Rostokino,monolith,2,8.5,223900.00
Sokol,modern_panel,2,8.51,200300.00
Nagatino-Sadovniki,modern_panel,3,8.51,186900.00
Izmaylovo,khrushchev,3,8.51,180900.00
Begovoy,modern_panel,2,8.51,204400.00
Ostankinsky,panel,4,8.51,160200.00
Kotlovka,monolith,2,8.51,206300.00
Nagatinsky Zaton,panel,2,8.51,194500.00
Ostankinsky,stalin,3,8.51,368100.00
Sokol,panel,2,8.51,256300.00
Bogorodskoye,monolith,3,8.51,185200.00
Bogorodskoye,panel,2,8.51,109900.00
Fili-Davydkovo,monolith,2,8.51,226700.00
Nagatinsky Zaton,monolith,2,8.51,224100.00
Akademichesky,monolith,2,8.51,348300.00
Nagatino-Sadovniki,modern_panel,1,8.51,214300.00
Filyovsky Park,modern_panel,3,8.51,255500.00
Fili-Davydkovo,modern_panel,1,8.51,230100.00
Ramenki,modern_panel,3,8.51,402600.00
Alekseevsky,panel,1,8.51,194300.00
Aeroport,monolith,2,8.51,190400.00
Aeroport,khrushchev,3,8.52,216700.00
Ostankinsky,monolith,1,8.52,205000.00
Nagorny,panel,1,8.52,231500.00
Akademichesky,modern_panel,1,8.52,240500.00
Filyovsky Park,brick,1,8.52,247200.00
Aeroport,khrushchev,2,8.52,199300.00
Khoroshyovo-Mnyovniki,brick,2,8.52,261400.00
Preobrazhenskoye,brick,1,8.52,165200.00
Rostokino,panel,1,8.52,216700.00
Marfino,panel,3,8.52,109300.00
Nagatino-Sadovniki,modern_panel,2,8.52,172200.00
Nagorny,brick,2,8.52,231500.00
Nagorny,brick,1,8.52,138800.00
Kotlovka,stalin,2,8.52,193500.00
Novogireyevo,brick,2,8.52,250200.00
Nagatinsky Zaton,brick,1,8.52,196400.00
Nagatino-Sadovniki,panel,2,8.53,183100.00
Timiryazevsky,monolith,3,8.53,272400.00
Khoroshyovo-Mnyovniki,khrushchev,2,8.53,126500.00
Khoroshyovo-Mnyovniki,brick,3,8.53,238200.00
Kotlovka,brick,3,8.53,216400.00
Ramenki,modern_panel,3,8.53,222800.00
Bogorodskoye,panel,3,8.53,116700.00
Novogireyevo,modern_panel,2,8.53,225600.00
Nagatinsky Zaton,stalin,1,8.53,290900.00
Ostankinsky,khrushchev,1,8.53,182500.00
Bogorodskoye,modern_panel,2,8.53,225800.00
Ramenki,monolith,4,8.53,290900.00
Sokolinaya Gora,khrushchev,3,8.53,141500.00
Aeroport,panel,3,8.53,255000.00
Sokolinaya Gora,panel,1,8.53,233000.00
Gagarinsky,modern_panel,2,8.53,327000.00
Marfino,stalin,1,8.53,295900.00
Kotlovka,khrushchev,2,8.53,173300.00
Ramenki,monolith,3,8.53,246300.00
Aeroport,monolith,2,8.53,333800.00
Sokol,panel,3,8.53,280500.00
Nagatinsky Zaton,panel,1,8.53,229800.00
Ramenki,modern_panel,1,8.54,265200.00
Nagatino-Sadovniki,modern_panel,5,8.54,182700.00
Cheryomushki,panel,2,8.54,200900.00
Filyovsky Park,panel,3,8.54,197900.00
Filyovsky Park,monolith,2,8.54,301000.00
Ostankinsky,panel,1,8.54,276300.00
Sokolinaya Gora,panel,2,8.54,157300.00
Nagatino-Sadovniki,brick,1,8.54,244100.00
Ramenki,stalin,1,8.54,384000.00
Nagorny,monolith,1,8.54,305000.00
Filyovsky Park,brick,4,8.54,208700.00
Lomonosovsky,panel,3,8.54,253500.00
Gagarinsky,panel,3,8.54,311600.00
Aeroport,monolith,2,8.54,370400.00
Aeroport,monolith,1,8.54,185200.00
Nagatinsky Zaton,modern_panel,2,8.54,232200.00
Akademichesky,modern_panel,3,8.54,284300.00
Lomonosovsky,monolith,2,8.54,462400.00
Kotlovka,modern_panel,3,8.54,254500.00
Cheryomushki,panel,1,8.54,381400.00
Nagatinsky Zaton,panel,2,8.54,160900.00
Cheryomushki,brick,4,8.55,271600.00
Khoroshyovo-Mnyovniki,panel,2,8.55,212800.00
Khoroshyovsky,modern_panel,1,8.55,255300.00
Cheryomushki,modern_panel,2,8.55,323400.00
Filyovsky Park,monolith,3,8.55,263700.00
Aeroport,modern_panel,5,8.55,238700.00
Cheryomushki,monolith,4,8.55,317700.00
Ramenki,monolith,1,8.55,338000.00
Marfino,panel,2,8.55,200500.00
Filyovsky Park,modern_panel,2,8.55,236200.00
Kotlovka,brick,2,8.55,270700.00
Nagatinsky Zaton,monolith,1,8.55,163000.00
Timiryazevsky,panel,2,8.55,355200.00
Aeroport,stalin,5,8.55,309200.00
Fili-Davydkovo,monolith,2,8.55,316900.00
Ostankinsky,modern_panel,2,8.55,259800.00
Kotlovka,modern_panel,3,8.55,185900.00
Ostankinsky,brick,4,8.55,187600.00
Nagatinsky Zaton,khrushchev,2,8.55,172500.00
Nagatinsky Zaton,stalin,1,8.55,271700.00
Akademichesky,stalin,3,8.56,296000.00
Gagarinsky,panel,1,8.56,240700.00
Akademichesky,panel,1,8.56,326800.00
Nagorny,modern_panel,2,8.56,270400.00
Koptevo,modern_panel,1,8.56,184500.00
Akademichesky,modern_panel,2,8.56,362000.00
Nagatinsky Zaton,brick,4,8.56,202900.00
Kotlovka,panel,1,8.56,324100.00
Ostankinsky,khrushchev,4,8.56,187200.00
Kotlovka,modern_panel,2,8.56,148600.00
Akademichesky,khrushchev,3,8.56,254100.00
Chertanovo Severnoye,panel,1,8.56,149800.00
Khoroshyovo-Mnyovniki,monolith,3,8.56,238000.00
Butyrsky,brick,3,8.56,194800.00
Lomonosovsky,brick,1,8.56,295400.00
Filyovsky Park,monolith,1,8.56,349500.00
Sokolinaya Gora,monolith,2,8.57,180000.00
Timiryazevsky,monolith,3,8.57,249300.00
Sokol,brick,1,8.57,285400.00
Filyovsky Park,khrushchev,2,8.57,250900.00
Fili-Davydkovo,stalin,3,8.57,514600.00
Lomonosovsky,brick,1,8.57,333800.00
Cheryomushki,monolith,2,8.57,230300.00
Nagatino-Sadovniki,monolith,3,8.57,248200.00
Filyovsky Park,monolith,1,8.57,385000.00
Sokolinaya Gora,modern_panel,1,8.57,208900.00
Preobrazhenskoye,stalin,1,8.57,208700.00
Ramenki,brick,2,8.57,217200.00
Nagatino-Sadovniki,monolith,2,8.57,312300.00
Sokol,stalin,3,8.57,303800.00
Filyovsky Park,khrushchev,4,8.57,350000.00
Nagorny,brick,1,8.57,174900.00
Aeroport,monolith,1,8.57,244400.00
Gagarinsky,khrushchev,2,8.57,419800.00
Akademichesky,modern_panel,1,8.57,226300.00
Khoroshyovo-Mnyovniki,panel,1,8.57,194000.00
Bogorodskoye,modern_panel,1,8.57,158100.00
Nagorny,brick,3,8.57,273200.00
Kotlovka,monolith,4,8.57,296600.00
Alekseevsky,panel,2,8.57,175100.00
Gagarinsky,panel,4,8.57,389100.00
Lomonosovsky,panel,1,8.58,235400.00
Kotlovka,monolith,3,8.58,265500.00
Perovo,monolith,2,8.58,261600.00
Khoroshyovo-Mnyovniki,brick,3,8.58,209700.00
Aeroport,khrushchev,4,8.58,151600.00
Ostankinsky,khrushchev,2,8.58,291800.00
Cheryomushki,khrushchev,3,8.58,257700.00
Perovo,modern_panel,4,8.58,252100.00
Khoroshyovo-Mnyovniki,monolith,2,8.58,225300.00
Aeroport,brick,3,8.58,200300.00
Nagorny,monolith,3,8.58,291400.00
Butyrsky,khrushchev,3,8.58,150950.00
Kotlovka,stalin,3,8.58,237200.00
Nagatinsky Zaton,modern_panel,2,8.58,198700.00
Fili-Davydkovo,monolith,1,8.58,273400.00
Nagatino-Sadovniki,modern_panel,1,8.58,165800.00
Filyovsky Park,monolith,5,8.58,334500.00
Lomonosovsky,monolith,2,8.58,370200.00
Nagatinsky Zaton,khrushchev,1,8.58,131000.00
Nagatinsky Zaton,monolith,1,8.58,264700.00
Danilovsky,khrushchev,2,8.58,199050.00
Begovoy,monolith,2,8.58,204000.00
Filyovsky Park,modern_panel,2,8.58,244800.00
Marfino,modern_panel,2,8.58,178900.00
Sokol,panel,2,8.58,232900.00
Khoroshyovsky,modern_panel,3,8.58,214200.00
Nagatinsky Zaton,panel,1,8.58,155200.00
Voykovsky,stalin,5,8.58,336900.00
Metrogorodok,brick,3,8.58,122200.00
Butyrsky,brick,3,8.58,280400.00
Sokol,modern_panel,3,8.58,292500.00
Filyovsky Park,modern_panel,1,8.58,298200.00
Prospekt Vernadskogo,panel,2,8.58,256300.00
Timiryazevsky,brick,1,8.59,185400.00
Voykovsky,monolith,2,8.59,200200.00
Rostokino,brick,2,8.59,241000.00
Sokol,monolith,1,8.59,196500.00
Perovo,panel,1,8.59,159400.00
Nagatino-Sadovniki,panel,1,8.59,187900.00
Ostankinsky,modern_panel,1,8.59,246900.00
Timiryazevsky,monolith,3,8.59,244400.00
Nagatinsky Zaton,panel,3,8.59,165100.00
Filyovsky Park,brick,2,8.59,423800.00
Bogorodskoye,monolith,2,8.59,149900.00
Marfino,stalin,2,8.59,213600.00
Filyovsky Park,panel,1,8.59,263000.00
Timiryazevsky,panel,2,8.59,204500.00
Voykovsky,khrushchev,2,8.59,244700.00
Aeroport,monolith,3,8.59,283300.00
Butyrsky,panel,4,8.59,145100.00
Gagarinsky,modern_panel,2,8.59,288300.00
Khoroshyovo-Mnyovniki,panel,2,8.59,212800.00
Lomonosovsky,panel,2,8.59,333600.00
Preobrazhenskoye,panel,3,8.59,303300.00
Nagatinsky Zaton,modern_panel,1,8.59,202700.00
Khoroshyovo-Mnyovniki,stalin,3,8.59,416900.00
Timiryazevsky,modern_panel,4,8.59,199200.00
Ramenki,modern_panel,1,8.59,224800.00
Akademichesky,panel,2,8.6,203900.00
Nagatinsky Zaton,modern_panel,2,8.6,280500.00
Filyovsky Park,modern_panel,2,8.6,268300.00
Sviblovo,khrushchev,2,8.6,190900.00
Sokol,brick,2,8.6,399300.00
Perovo,panel,2,8.6,241300.00
Khoroshyovsky,monolith,2,8.6,252900.00
Lomonosovsky,modern_panel,2,8.6,275700.00
Butyrsky,monolith,1,8.6,265300.00
Khoroshyovo-Mnyovniki,monolith,3,8.6,267800.00
Sokol,brick,1,8.6,237800.00
Sokol,modern_panel,2,8.6,305700.00
Ramenki,panel,1,8.6,335000.00
Perovo,brick,3,8.6,211100.00
Preobrazhenskoye,modern_panel,1,8.6,279100.00
Marfino,modern_panel,1,8.6,186200.00
Nagatinsky Zaton,panel,1,8.6,159800.00
Khoroshyovo-Mnyovniki,khrushchev,3,8.6,138000.00
Khoroshyovo-Mnyovniki,stalin,3,8.6,274200.00
Butyrsky,monolith,2,8.6,248000.00
Preobrazhenskoye,modern_panel,3,8.6,226500.00
Kotlovka,brick,3,8.6,189200.00
Marfino,modern_panel,2,8.6,108000.00
Akademichesky,modern_panel,2,8.6,219800.00
Nagatino-Sadovniki,monolith,1,8.6,219300.00
Kotlovka,modern_panel,2,8.6,336500.00
Cheryomushki,brick,2,8.6,271100.00
Nagatinsky Zaton,panel,3,8.6,171300.00
Bogorodskoye,modern_panel,1,8.61,168200.00
Nagorny,panel,1,8.61,198100.00
Nagatino-Sadovniki,monolith,1,8.61,222600.00
Preobrazhenskoye,stalin,1,8.61,205900.00
Nagatinsky Zaton,panel,2,8.61,165600.00
Ramenki,modern_panel,2,8.61,210100.00
Obruchevsky,panel,2,8.61,247400.00
Preobrazhenskoye,modern_panel,2,8.61,262300.00
Kotlovka,monolith,4,8.61,260600.00
Gagarinsky,modern_panel,2,8.61,222900.00
Sokolinaya Gora,khrushchev,2,8.61,110000.00
Rostokino,brick,2,8.61,173000.00
Kotlovka,modern_panel,2,8.61,252000.00
Rostokino,panel,2,8.61,134700.00
Filyovsky Park,monolith,1,8.61,278300.00
Marfino,brick,2,8.61,240900.00
Nagorny,khrushchev,1,8.61,231500.00
Nagatino-Sadovniki,panel,4,8.61,188700.00
Ostankinsky,monolith,1,8.61,250800.00
Sokolinaya Gora,monolith,1,8.61,166550.00
Bogorodskoye,khrushchev,1,8.61,156200.00
Filyovsky Park,brick,3,8.61,196900.00
Aeroport,khrushchev,2,8.61,180700.00
Fili-Davydkovo,panel,3,8.62,232600.00
Lomonosovsky,panel,2,8.62,253300.00
Nagatinsky Zaton,brick,3,8.62,183900.00
Rostokino,modern_panel,2,8.62,141900.00
Lomonosovsky,panel,3,8.62,229500.00
Khoroshyovsky,panel,3,8.62,316100.00
Nagatino-Sadovniki,panel,3,8.62,279000.00
Lomonosovsky,monolith,1,8.62,418500.00
Khoroshyovo-Mnyovniki,brick,3,8.62,257100.00
Bogorodskoye,brick,1,8.62,179300.00
Preobrazhenskoye,stalin,2,8.62,236600.00
Akademichesky,brick,2,8.62,187700.00
Chertanovo Severnoye,modern_panel,3,8.62,171300.00
Akademichesky,modern_panel,3,8.62,197200.00
Nagorny,monolith,1,8.62,179600.00
Voykovsky,modern_panel,1,8.62,203300.00
Ramenki,panel,1,8.62,259000.00
Fili-Davydkovo,brick,2,8.62,260200.00
Metrogorodok,monolith,2,8.62,175100.00
Filyovsky Park,panel,1,8.62,238000.00
Marfino,brick,3,8.62,186700.00
Filyovsky Park,khrushchev,1,8.63,287400.00
Alekseevsky,panel,1,8.63,173300.00
Fili-Davydkovo,stalin,3,8.63,432300.00
Bogorodskoye,monolith,1,8.63,215000.00
Filyovsky Park,stalin,1,8.63,375900.00
Ramenki,modern_panel,2,8.63,281200.00
Cheryomushki,brick,2,8.63,348900.00
Kotlovka,modern_panel,3,8.63,226400.00
Nagorny,monolith,3,8.63,196800.00
Filyovsky Park,brick,3,8.63,262900.00
Bogorodskoye,khrushchev,2,8.63,181900.00
Butyrsky,khrushchev,2,8.63,210500.00
Nagatinsky Zaton,modern_panel,2,8.63,175200.00
Lomonosovsky,monolith,2,8.63,352500.00
Shchukino,brick,3,8.63,349400.00
Bogorodskoye,stalin,1,8.63,323100.00
Novogireyevo,stalin,1,8.63,285000.00
Ramenki,brick,2,8.63,348700.00
Khoroshyovo-Mnyovniki,modern_panel,1,8.63,219900.00
Preobrazhenskoye,panel,4,8.63,184400.00
Sokol,panel,1,8.63,299200.00
Timiryazevsky,modern_panel,2,8.63,208700.00
Ramenki,monolith,2,8.63,319100.00
Akademichesky,khrushchev,1,8.63,211100.00
Lomonosovsky,khrushchev,4,8.63,241800.00
Ramenki,panel,2,8.63,354800.00
Sokol,panel,2,8.64,338700.00
Bogorodskoye,monolith,1,8.64,213400.00
Lomonosovsky,stalin,1,8.64,421500.00
Izmaylovo,modern_panel,1,8.64,151800.00
Lomonosovsky,khrushchev,3,8.64,246800.00
Sokol,panel,1,8.64,244400.00
Ramenki,modern_panel,2,8.64,247200.00
Aeroport,monolith,2,8.64,276600.00
Nagatino-Sadovniki,modern_panel,4,8.64,196700.00
Metrogorodok,panel,2,8.64,220100.00
Ramenki,monolith,2,8.64,301200.00
Timiryazevsky,modern_panel,1,8.64,188500.00
Ramenki,panel,1,8.64,365000.00
Voykovsky,panel,2,8.64,260100.00
Sokolinaya Gora,monolith,4,8.64,159200.00
Filyovsky Park,modern_panel,4,8.64,261900.00
Sokol,stalin,1,8.64,353500.00
Ramenki,modern_panel,1,8.64,307000.00
Khoroshyovo-Mnyovniki,panel,2,8.64,202100.00
Ostankinsky,monolith,1,8.64,257300.00
Lomonosovsky,monolith,1,8.64,313100.00
Marfino,khrushchev,3,8.64,133900.00
Lomonosovsky,modern_panel,5,8.64,454700.00
Cheryomushki,khrushchev,3,8.64,325400.00
Filyovsky Park,khrushchev,2,8.64,336100.00
Sokol,brick,1,8.64,323700.00
Khoroshyovo-Mnyovniki,brick,3,8.64,247900.00
Sokolinaya Gora,khrushchev,1,8.65,88400.00
Bogorodskoye,panel,1,8.65,165200.00
Voykovsky,panel,1,8.65,176900.00
Fili-Davydkovo,panel,3,8.65,383800.00
Lomonosovsky,modern_panel,2,8.65,271950.00
Marfino,modern_panel,2,8.65,150900.00
Ramenki,khrushchev,3,8.65,191200.00
Voykovsky,panel,3,8.65,124600.00
Izmaylovo,monolith,1,8.65,240500.00
Fili-Davydkovo,panel,1,8.65,197600.00
Ramenki,brick,2,8.65,278800.00
Nagatino-Sadovniki,stalin,4,8.65,274300.00
Sokol,modern_panel,2,8.65,350600.00
Cheryomushki,brick,2,8.65,342600.00
Ostankinsky,monolith,2,8.65,258300.00
Butyrsky,modern_panel,3,8.65,187400.00
Aeroport,khrushchev,3,8.65,213400.00
Khoroshyovo-Mnyovniki,brick,2,8.65,207900.00
Sokol,stalin,2,8.65,354300.00
Kotlovka,panel,1,8.65,244600.00
Chertanovo Severnoye,monolith,1,8.65,249600.00
Sokol,modern_panel,3,8.65,298600.00
Aeroport,panel,1,8.65,174000.00
Cheryomushki,modern_panel,3,8.65,205900.00
Gagarinsky,monolith,2,8.65,374100.00
Nagatinsky Zaton,monolith,3,8.65,206100.00
Preobrazhenskoye,panel,2,8.65,220500.00
Cheryomushki,panel,1,8.65,274000.00
Akademichesky,khrushchev,1,8.65,164500.00
Ostankinsky,stalin,2,8.65,315000.00
Ramenki,modern_panel,3,8.65,255600.00
Rostokino,panel,2,8.65,114200.00
Sokol,monolith,2,8.65,323600.00
Filyovsky Park,khrushchev,1,8.65,164400.00
Cheryomushki,monolith,1,8.66,220100.00
Sokolinaya Gora,monolith,4,8.66,185600.00
Fili-Davydkovo,brick,3,8.66,182800.00
Filyovsky Park,monolith,2,8.66,280900.00
Perovo,modern_panel,2,8.66,209800.00
Begovoy,brick,3,8.66,307500.00
Sviblovo,brick,2,8.66,232700.00
Timiryazevsky,modern_panel,2,8.66,146200.00
Kotlovka,stalin,5,8.66,283500.00
Nagatino-Sadovniki,monolith,1,8.66,144300.00
Nagatinsky Zaton,modern_panel,2,8.66,144600.00
Lomonosovsky,monolith,2,8.66,334300.00
Timiryazevsky,panel,3,8.66,121400.00
Cheryomushki,khrushchev,1,8.66,327700.00
Nagatino-Sadovniki,brick,1,8.66,152700.00
Preobrazhenskoye,khrushchev,2,8.66,158900.00
Fili-Davydkovo,brick,4,8.66,200800.00
Fili-Davydkovo,stalin,1,8.66,362400.00
Nagatino-Sadovniki,monolith,3,8.66,227700.00
Preobrazhenskoye,modern_panel,2,8.66,309300.00
Fili-Davydkovo,monolith,4,8.66,339700.00
Nagatinsky Zaton,brick,3,8.66,261000.00
Sokolinaya Gora,monolith,3,8.66,205900.00
Khoroshyovo-Mnyovniki,panel,2,8.66,208000.00
Izmaylovo,monolith,4,8.67,161400.00
Lomonosovsky,brick,1,8.67,224500.00
Nagatinsky Zaton,panel,2,8.67,183500.00
Khoroshyovo-Mnyovniki,brick,2,8.67,211100.00
Nagorny,khrushchev,1,8.67,155100.00
Rostokino,monolith,2,8.67,229900.00
Marfino,panel,1,8.67,162500.00
Preobrazhenskoye,brick,1,8.67,365200.00
Preobrazhenskoye,monolith,3,8.67,228000.00
Sokol,panel,2,8.67,157700.00
Fili-Davydkovo,modern_panel,1,8.67,192300.00
Marfino,brick,1,8.67,212900.00
Lomonosovsky,khrushchev,3,8.67,239200.00
Izmaylovo,monolith,2,8.67,362600.00
Lomonosovsky,panel,1,8.67,364900.00
Nagatinsky Zaton,stalin,1,8.67,204800.00
Khoroshyovo-Mnyovniki,panel,2,8.67,227000.00
Bogorodskoye,modern_panel,3,8.67,221700.00
Preobrazhenskoye,brick,2,8.68,258300.00
Khoroshyovo-Mnyovniki,panel,1,8.68,198800.00
Rostokino,stalin,2,8.68,206400.00
Fili-Davydkovo,monolith,3,8.68,285000.00
Akademichesky,monolith,2,8.68,259100.00
Ostankinsky,panel,3,8.68,232700.00
Butyrsky,brick,2,8.68,268700.00
Sokol,monolith,1,8.68,244500.00
Sokol,brick,3,8.68,303000.00
Sokol,khrushchev,4,8.68,184100.00
Sokolinaya Gora,panel,4,8.68,151900.00
Lomonosovsky,monolith,1,8.68,304000.00
Lomonosovsky,panel,2,8.68,305400.00
Cheryomushki,monolith,3,8.68,229800.00
Aeroport,stalin,2,8.68,297800.00
Kotlovka,panel,2,8.68,193400.00
Sokolinaya Gora,brick,2,8.68,147000.00
Cheryomushki,khrushchev,3,8.68,225700.00
Fili-Davydkovo,monolith,2,8.69,311000.00
Fili-Davydkovo,brick,3,8.69,213400.00
Kotlovka,stalin,3,8.69,249800.00
Butyrsky,modern_panel,2,8.69,216100.00
Alekseevsky,modern_panel,1,8.69,143200.00
Sokol,panel,3,8.69,279200.00
Kotlovka,brick,3,8.69,301900.00
Metrogorodok,monolith,3,8.69,269500.00
Perovo,khrushchev,1,8.69,202700.00
Metrogorodok,modern_panel,4,8.69,132800.00
Kotlovka,monolith,2,8.69,314100.00
Nagatinsky Zaton,monolith,2,8.69,276100.00
Ostankinsky,brick,3,8.69,218000.00
Akademichesky,khrushchev,2,8.69,132800.00
Preobrazhenskoye,khrushchev,2,8.69,288000.00
